reviewId,rating,date,option,skinType,skinTone,helpfulCount,hasPhoto,isRepurchase,content
53364863,4,"2025.12.22","리프트 부스트(탄력)","A02","B02",5,true,false,"메노킨 가쉬 스킨으로 사용중 한달후기. 가쉬보다  메노킨을 더 잘 씀 메노킨은  수분이 충족되는 스킨 (리프트- 모이스트 순으로  좋음,리페어는 재구매안할템) 가쉬는  메노킨에 비해 수분충족은 덜하나 쫀쫀한 느낌에 광이 남 20대는 가쉬만 사용해도 만족스러울텐데 30대부터 수분이 더  충족되어야 함 가쉬 단독 사용 만족스럽지 않아서 에스트라 아토베리어로션과 궁합이 좋았음"
53367862,5,"2025.12.22","트리플 슈퍼 리페어(진정)","A03","B06",6,false,false,"오랫동안 꾸준히 써보니 왜 화잘먹 대란템인지 알겠어요! 바쁜 10초면 끝나니까 세상 편해서 자꾸 손이 가요ㅋㅋ  일단 미세한 버블이 올라오면서 피부를 싹 진정시켜주는 느낌이 너무 좋아요👍🏻 김 없이 촉촉탱탱해지고, 확실히 이거 한 다음날은 화장이 찰떡같이 밀착돼서 대만족 중입니다ㅎㅎ 리페어 라인이라 피부 컨디션 안 좋을 때 써주면 금방 매끈해지는 게 눈에 보여요!  빠르고 확실한 진정 케어랑 물광 피부 원하는 분들께 무조건 강추합니다! 오래 써보니 더 만족스럽네요! 넘 만족합니다!"
53367766,5,"2025.12.22","퍼펙트 멜라 제로(잡티)","A03","B06",6,false,false,"어머니가 꾸준히 사용하고 계신데, 대만족 중이세요!  일단 10초면 끝나는 간편함 덕분에 매일 거르지 않고 쓰시는데, 확실히 잡티 케어 라인이라 그런지 안색이 눈에 띄게 맑고 화사해지셨어요👍🏻 사용 후 피부가 쫀쫀하고 촉촉해서 화장도 훨씬 잘 먹는다고 너무 좋아하시네요ㅎㅎ 어머니 피부 결이 매끈해진 게 보여서 제가 다 뿌듯합니다!  칙칙한 피부 톤이 고민이신 어머니들께 선물로도 무조건 강추합니다! 오래 써보니 더 확실하네요! 넘 만족합니다!"
53654319,5,"2025.12.30","리프트 부스트(탄력)","A02","B01",4,true,false,"바르자마자 미세한 버블이 올라오면서  피부를 부드럽게 감싸주고, 10초 정도면 충분해서 세안 전후 어디에나 활용하기 편했어요. 사용 후에는 피부가 한결 쫀쫀해지고 탄력이 살아난 느낌이라  만족스러웠고, 당김 없이 촉촉하게 마무리돼요. 자극적이지 않아서 데일리로 쓰기 좋고, 여러 번 나눠 쓸 수 있는 대용량 구성이라 가성비도 괜찮았어요. 간편하게 탄력 관리하고 싶은 분들께 추천하고 싶어요."
53654567,5,"2025.12.30","퍼펙트 멜라 제로(잡티)","A02","B01",4,true,false,"노워시 타입이라 씻어낼 필요가 없어서 데일리 케어로 손이 자주 갔고, 사용 후에는 피부결이 한결 정돈되면서 톤이 맑아 보이는 느낌이 들었어요. 💚"
53326820,5,"2025.12.21","울트라 브이 아쿠아 밤(수분)","A03","B02",4,true,false,"모든 기초제품류중에 수분라인은 기본템이라 지나칠수없죠 데일리로 제일 무난하게 사용가능할 것 같아요"
53352481,3,"2025.12.22","리프트 부스트(탄력)","A03","B04",3,false,false,"1달 써봤습니다.  10초면 올려준다는 건 정말 과대광고구요 헤어무스 같은 제형에 문지르면 조금 촉촉하고 광이도는 정도지 리프팅 효과는 못봤어요 구냥 스킨부스터 정도로 보세요 메노킨은 좀더 촉촉햇고 얜 좀 덜 촉촉한데 광이 돌아요 화장할때 밀리진 않는데 가스로 나오는 거라 향이 거북해요 딱 골프공만큼 쓰라는데 정말 살짝누르세요"
53369735,5,"2025.12.22","퍼펙트 멜라 제로(잡티)","A02","B01",4,true,false,"이거 너무좋아요 진짜 최고임 이것만써요 피부 광나요  홈피에서 주문하다 급할때"
53326810,5,"2025.12.21","퍼펙트 멜라 제로(잡티)","A03","B02",3,true,false,"울긋불긋 잡티케어에 도움이 됐음 좋게써요 꾸준히 써보려고 종류별로 다 구입했어용"
53662947,5,"2025.12.30","울트라 브이 아쿠아 밤(수분)","","",2,true,false,"한달동안 탄력,미백,수분 모두 시켜서  번갈아 바르니 너무 촉촉하고 좋았어요~^^  탄력도 챙기면서 미백도 관리하고 수분감이 돌아서 피부가 정말 예뻐졌습니다~~🤗👍🏻👍🏻  꼭 사용해보세요~~~"
